node,REGION_1,REGION_10,REGION_2,REGION_3,REGION_4,REGION_5,REGION_6,REGION_7,REGION_8,REGION_9
root,1,0,0,0,0,0,0,0,0,0
n0,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW304/2020|EPI_ISL_418872|2020-03-16,0,1,0,0,0,0,0,0,0,0
n1,0,1,0,0,0,0,0,0,0,0
n2,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW302/2020|EPI_ISL_418870|2020-03-16,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW387/2020|EPI_ISL_418952|2020-03-16,0,1,0,0,0,0,0,0,0,0
n3,0,1,0,0,0,0,0,0,0,0
n103,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW-1308/2020|EPI_ISL_422973|2020-03-17,0,1,0,0,0,0,0,0,0,0
n4,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW321/2020|EPI_ISL_418888|2020-03-15,0,1,0,0,0,0,0,0,0,0
n104,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW249/2020|EPI_ISL_418034|2020-03-16,0,1,0,0,0,0,0,0,0,0
n5,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW274/2020|EPI_ISL_418059|2020-03-13,0,1,0,0,0,0,0,0,0,0
n105,0,1,0,0,0,0,0,0,0,0
n6,0,0,0,0,0,0,0,0,0,1
n7,0,1,0,0,0,0,0,0,0,0
n106,0,1,0,0,0,0,0,0,0,0
n116,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/NV-NSPHL-A0017/2020|EPI_ISL_515304|2020-03-15,0,0,0,0,0,0,0,0,0,1
hCoV-19/USA/CA-CZB-1599/2020|EPI_ISL_468528|2020-03-31,0,0,0,0,0,0,0,0,0,1
hCoV-19/USA/MN-MDH-1446/2020|EPI_ISL_514665|2020-03-27,0,0,0,0,0,1,0,0,0,0
n8,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/CT-Yale-112/2020|EPI_ISL_435708|2020-04-09,1,0,0,0,0,0,0,0,0,0
n107,0,1,0,0,0,0,0,0,0,0
hCoV-19/USA/WA-UW16/2020|EPI_ISL_414364|2020-03-05,0,1,0,0,0,0,0,0,0,0
n117,0,1,0,0,0,0,0,0,0,0
